Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
135.0,2025-01-17,call,META250117C00135000,178.0,174.0,177.65,0.0,0.0,91.0,1161.0,0.6846650186157227,META,False,META,297.89,2023-09-08 20:00:01,2023-09-07 19:12:10,"{'contractSymbol': 'META250117C00135000', 'strike': 135.0, 'currency': 'USD', 'lastPrice': 178.0, 'change': 0.0, 'percentChange': 0.0, 'volume': 91, 'openInterest': 1161, 'bid': 174.0, 'ask': 177.65, 'contractSize': 'REGULAR', 'expiration': 1737072000, 'lastTradeDate': 1694113930, 'impliedVolatility': 0.6846650186157227, 'inTheMoney': True}"
135.0,2025-06-20,call,META250620C00135000,204.44,167.0,170.5,0.0,0.0,1.0,154.0,0.5026294854736328,META,False,META,297.89,2023-09-08 20:00:01,2023-07-27 14:22:29,"{'contractSymbol': 'META250620C00135000', 'strike': 135.0, 'currency': 'USD', 'lastPrice': 204.44, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 154, 'bid': 167.0, 'ask': 170.5, 'contractSize': 'REGULAR', 'expiration': 1750377600, 'lastTradeDate': 1690467749, 'impliedVolatility': 0.5026294854736328, 'inTheMoney': True}"
135.0,2025-12-19,call,META251219C00135000,176.8,183.05,185.65,0.0,0.0,1.0,20.0,0.6450993742370605,META,False,META,297.89,2023-09-08 20:00:01,2023-08-28 18:06:28,"{'contractSymbol': 'META251219C00135000', 'strike': 135.0, 'currency': 'USD', 'lastPrice': 176.8, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 20, 'bid': 183.05, 'ask': 185.65, 'contractSize': 'REGULAR', 'expiration': 1766102400, 'lastTradeDate': 1693245988, 'impliedVolatility': 0.6450993742370605, 'inTheMoney': True}"
140.0,2023-09-15,call,META230915C00140000,158.0,156.75,158.65,1.5099945,0.9649144,24.0,1264.0,2.798831127929688,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 19:43:31,"{'contractSymbol': 'META230915C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 158.0, 'change': 1.5099945, 'percentChange': 0.9649144, 'volume': 24, 'openInterest': 1264, 'bid': 156.75, 'ask': 158.65, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694202211, 'impliedVolatility': 2.798831127929688, 'inTheMoney': True}"
140.0,2023-09-29,call,META230929C00140000,160.72,156.35,159.8,9.520004,6.2962995,1.0,2.0,1.3222690136718749,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 16:45:25,"{'contractSymbol': 'META230929C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 160.72, 'change': 9.520004, 'percentChange': 6.2962995, 'volume': 1, 'openInterest': 2, 'bid': 156.35, 'ask': 159.8, 'contractSize': 'REGULAR', 'expiration': 1695945600, 'lastTradeDate': 1694191525, 'impliedVolatility': 1.3222690136718749, 'inTheMoney': True}"
140.0,2023-10-20,call,META231020C00140000,162.37,156.6,160.5,4.699997,2.9809077,1.0,49.0,1.1162153564453123,META,False,META,297.89,2023-09-08 20:00:01,2023-09-08 15:41:35,"{'contractSymbol': 'META231020C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 162.37, 'change': 4.699997, 'percentChange': 2.9809077, 'volume': 1, 'openInterest': 49, 'bid': 156.6, 'ask': 160.5, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1694187695, 'impliedVolatility': 1.1162153564453123, 'inTheMoney': True}"
140.0,2023-11-17,call,META231117C00140000,153.52,158.6,160.35,0.0,0.0,2.0,898.0,1.0085498791503906,META,False,META,297.89,2023-09-08 20:00:01,2023-08-29 14:45:45,"{'contractSymbol': 'META231117C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 153.52, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 898, 'bid': 158.6, 'ask': 160.35, 'contractSize': 'REGULAR', 'expiration': 1700179200, 'lastTradeDate': 1693320345, 'impliedVolatility': 1.0085498791503906, 'inTheMoney': True}"
140.0,2023-12-15,call,META231215C00140000,160.59,159.35,160.95,0.0,0.0,2.0,31.0,0.916138533935547,META,False,META,297.89,2023-09-08 20:00:01,2023-08-31 13:44:32,"{'contractSymbol': 'META231215C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 160.59, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 31, 'bid': 159.35, 'ask': 160.95, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1693489472, 'impliedVolatility': 0.916138533935547, 'inTheMoney': True}"
140.0,2024-01-19,call,META240119C00140000,168.03,159.8,161.95,0.0,0.0,1.0,5998.0,0.8361832788085937,META,False,META,297.89,2023-09-08 20:00:01,2023-09-07 14:38:32,"{'contractSymbol': 'META240119C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 168.03, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 5998, 'bid': 159.8, 'ask': 161.95, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1694097512, 'impliedVolatility': 0.8361832788085937, 'inTheMoney': True}"
140.0,2024-02-16,call,META240216C00140000,161.58,160.55,163.4,0.0,0.0,3.0,93.0,0.8193377441406249,META,False,META,297.89,2023-09-08 20:00:01,2023-08-29 16:07:08,"{'contractSymbol': 'META240216C00140000', 'strike': 140.0, 'currency': 'USD', 'lastPrice': 161.58, 'change': 0.0, 'percentChange': 0.0, 'volume': 3, 'openInterest': 93, 'bid': 160.55, 'ask': 163.4, 'contractSize': 'REGULAR', 'expiration': 1708041600, 'lastTradeDate': 1693325228, 'impliedVolatility': 0.8193377441406249, 'inTheMoney': True}"
