Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
495.0,2025-03-21,put,SPY250321P00495000,52.75,46.0,50.5,0.0,0.0,1.0,2.0,0.05834376724243165,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-04 19:35:52,"{'contractSymbol': 'SPY250321P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 52.75, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 2, 'bid': 46.0, 'ask': 50.5, 'contractSize': 'REGULAR', 'expiration': 1742515200, 'lastTradeDate': 1691177752, 'impliedVolatility': 0.05834376724243165, 'inTheMoney': True}"
495.0,2025-06-20,put,SPY250620P00495000,51.26,51.0,56.0,0.0,0.0,117.0,115.0,0.09399557136535644,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-05 18:54:46,"{'contractSymbol': 'SPY250620P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 51.26, 'change': 0.0, 'percentChange': 0.0, 'volume': 117, 'openInterest': 115, 'bid': 51.0, 'ask': 56.0, 'contractSize': 'REGULAR', 'expiration': 1750377600, 'lastTradeDate': 1693940086, 'impliedVolatility': 0.09399557136535644, 'inTheMoney': True}"
495.0,2025-12-19,put,SPY251219P00495000,58.48,54.0,59.0,0.0,0.0,5.0,129.0,0.0975126870727539,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-06 17:28:10,"{'contractSymbol': 'SPY251219P00495000', 'strike': 495.0, 'currency': 'USD', 'lastPrice': 58.48, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 129, 'bid': 54.0, 'ask': 59.0, 'contractSize': 'REGULAR', 'expiration': 1766102400, 'lastTradeDate': 1694021290, 'impliedVolatility': 0.0975126870727539, 'inTheMoney': True}"
496.0,2023-09-15,put,SPY230915P00496000,57.83,50.72,51.66,0.0,0.0,1.0,1.0,0.5200243310546875,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-25 14:24:25,"{'contractSymbol': 'SPY230915P00496000', 'strike': 496.0, 'currency': 'USD', 'lastPrice': 57.83, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 50.72, 'ask': 51.66, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1692973465, 'impliedVolatility': 0.5200243310546875, 'inTheMoney': True}"
498.0,2023-09-29,put,SPY230929P00498000,55.88,52.73,53.67,0.0,0.0,1.0,1.0,0.3284979260253906,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-28 19:59:39,"{'contractSymbol': 'SPY230929P00498000', 'strike': 498.0, 'currency': 'USD', 'lastPrice': 55.88, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 1, 'bid': 52.73, 'ask': 53.67, 'contractSize': 'REGULAR', 'expiration': 1695945600, 'lastTradeDate': 1693252779, 'impliedVolatility': 0.3284979260253906, 'inTheMoney': True}"
498.0,2023-10-20,put,SPY231020P00498000,59.84,52.73,53.55,0.0,0.0,1.0,0.0,0.22400678344726557,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-25 16:22:04,"{'contractSymbol': 'SPY231020P00498000', 'strike': 498.0, 'currency': 'USD', 'lastPrice': 59.84, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 52.73, 'ask': 53.55, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1692980524, 'impliedVolatility': 0.22400678344726557, 'inTheMoney': True}"
498.0,2023-12-15,put,SPY231215P00498000,47.56,47.05,48.03,0.0,0.0,1.0,0.0,1.0000000000000003e-05,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-04 13:30:08,"{'contractSymbol': 'SPY231215P00498000', 'strike': 498.0, 'currency': 'USD', 'lastPrice': 47.56, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 47.05, 'ask': 48.03, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1691155808, 'impliedVolatility': 1.0000000000000003e-05, 'inTheMoney': True}"
500.0,2023-09-14,put,SPY230914P00500000,53.74,53.66,54.6,53.74,,220.0,221.0,0.44824770507812495,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 15:05:28,"{'contractSymbol': 'SPY230914P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 53.74, 'change': 53.74, 'volume': 220, 'openInterest': 221, 'bid': 53.66, 'ask': 54.6, 'contractSize': 'REGULAR', 'expiration': 1694649600, 'lastTradeDate': 1694185528, 'impliedVolatility': 0.44824770507812495, 'inTheMoney': True}"
500.0,2023-09-15,put,SPY230915P00500000,54.8,54.72,55.66,5.7299995,11.677196,1.0,7.0,0.5500533276367189,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 14:10:55,"{'contractSymbol': 'SPY230915P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 54.8, 'change': 5.7299995, 'percentChange': 11.677196, 'volume': 1, 'openInterest': 7, 'bid': 54.72, 'ask': 55.66, 'contractSize': 'REGULAR', 'expiration': 1694736000, 'lastTradeDate': 1694182255, 'impliedVolatility': 0.5500533276367189, 'inTheMoney': True}"
500.0,2023-09-22,put,SPY230922P00500000,60.66,54.72,55.67,0.0,0.0,1.0,0.0,0.41834077758789057,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-25 14:13:38,"{'contractSymbol': 'SPY230922P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 60.66, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 54.72, 'ask': 55.67, 'contractSize': 'REGULAR', 'expiration': 1695340800, 'lastTradeDate': 1692972818, 'impliedVolatility': 0.41834077758789057, 'inTheMoney': True}"
500.0,2023-09-29,put,SPY230929P00500000,48.47,54.72,55.67,0.0,0.0,1.0,0.0,0.33728690063476563,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-08-31 18:27:22,"{'contractSymbol': 'SPY230929P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 48.47, 'change': 0.0, 'percentChange': 0.0, 'volume': 1, 'openInterest': 0, 'bid': 54.72, 'ask': 55.67, 'contractSize': 'REGULAR', 'expiration': 1695945600, 'lastTradeDate': 1693506442, 'impliedVolatility': 0.33728690063476563, 'inTheMoney': True}"
500.0,2023-10-13,put,SPY231013P00500000,55.18,54.72,55.54,55.18,,3.0,0.0,0.2520826745605469,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 16:47:11,"{'contractSymbol': 'SPY231013P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 55.18, 'change': 55.18, 'volume': 3, 'openInterest': 0, 'bid': 54.72, 'ask': 55.54, 'contractSize': 'REGULAR', 'expiration': 1697155200, 'lastTradeDate': 1694191631, 'impliedVolatility': 0.2520826745605469, 'inTheMoney': True}"
500.0,2023-10-20,put,SPY231020P00500000,56.23,54.73,55.54,-0.29000092,-0.51309437,3.0,205.0,0.22962196166992188,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 19:40:52,"{'contractSymbol': 'SPY231020P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 56.23, 'change': -0.29000092, 'percentChange': -0.51309437, 'volume': 3, 'openInterest': 205, 'bid': 54.73, 'ask': 55.54, 'contractSize': 'REGULAR', 'expiration': 1697760000, 'lastTradeDate': 1694202052, 'impliedVolatility': 0.22962196166992188, 'inTheMoney': True}"
500.0,2023-11-17,put,SPY231117P00500000,54.58,54.8,55.58,4.6200027,9.247403,10.0,24.0,0.17859708129882812,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 14:18:32,"{'contractSymbol': 'SPY231117P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 54.58, 'change': 4.6200027, 'percentChange': 9.247403, 'volume': 10, 'openInterest': 24, 'bid': 54.8, 'ask': 55.58, 'contractSize': 'REGULAR', 'expiration': 1700179200, 'lastTradeDate': 1694182712, 'impliedVolatility': 0.17859708129882812, 'inTheMoney': True}"
500.0,2023-12-15,put,SPY231215P00500000,55.03,54.73,55.66,-0.75,-1.344568,1517.0,235.0,0.15314567565917972,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 18:08:07,"{'contractSymbol': 'SPY231215P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 55.03, 'change': -0.75, 'percentChange': -1.344568, 'volume': 1517, 'openInterest': 235, 'bid': 54.73, 'ask': 55.66, 'contractSize': 'REGULAR', 'expiration': 1702598400, 'lastTradeDate': 1694196487, 'impliedVolatility': 0.15314567565917972, 'inTheMoney': True}"
500.0,2023-12-29,put,SPY231229P00500000,50.35,54.65,55.74,0.0,0.0,9.0,5.0,0.14545532287597657,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-01 15:59:49,"{'contractSymbol': 'SPY231229P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 50.35, 'change': 0.0, 'percentChange': 0.0, 'volume': 9, 'openInterest': 5, 'bid': 54.65, 'ask': 55.74, 'contractSize': 'REGULAR', 'expiration': 1703808000, 'lastTradeDate': 1693583989, 'impliedVolatility': 0.14545532287597657, 'inTheMoney': True}"
500.0,2024-01-19,put,SPY240119P00500000,56.4,54.65,55.74,0.20000076,0.35587323,1.0,76.0,0.13343151733398437,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 19:39:21,"{'contractSymbol': 'SPY240119P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 56.4, 'change': 0.20000076, 'percentChange': 0.35587323, 'volume': 1, 'openInterest': 76, 'bid': 54.65, 'ask': 55.74, 'contractSize': 'REGULAR', 'expiration': 1705622400, 'lastTradeDate': 1694201961, 'impliedVolatility': 0.13343151733398437, 'inTheMoney': True}"
500.0,2024-03-15,put,SPY240315P00500000,56.04,54.57,55.82,4.4300003,8.583609,844.0,5.0,0.11359528991699218,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 19:51:59,"{'contractSymbol': 'SPY240315P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 56.04, 'change': 4.4300003, 'percentChange': 8.583609, 'volume': 844, 'openInterest': 5, 'bid': 54.57, 'ask': 55.82, 'contractSize': 'REGULAR', 'expiration': 1710460800, 'lastTradeDate': 1694202719, 'impliedVolatility': 0.11359528991699218, 'inTheMoney': True}"
500.0,2024-03-28,put,SPY240328P00500000,55.33,54.5,55.9,1.420002,2.6340234,1.0,5.0,0.11142856353759764,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 13:47:06,"{'contractSymbol': 'SPY240328P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 55.33, 'change': 1.420002, 'percentChange': 2.6340234, 'volume': 1, 'openInterest': 5, 'bid': 54.5, 'ask': 55.9, 'contractSize': 'REGULAR', 'expiration': 1711584000, 'lastTradeDate': 1694180826, 'impliedVolatility': 0.11142856353759764, 'inTheMoney': True}"
500.0,2024-06-21,put,SPY240621P00500000,55.5,54.35,56.08,0.0,0.0,27.0,241.0,0.0963530307006836,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-07 19:47:31,"{'contractSymbol': 'SPY240621P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 55.5, 'change': 0.0, 'percentChange': 0.0, 'volume': 27, 'openInterest': 241, 'bid': 54.35, 'ask': 56.08, 'contractSize': 'REGULAR', 'expiration': 1718928000, 'lastTradeDate': 1694116051, 'impliedVolatility': 0.0963530307006836, 'inTheMoney': True}"
500.0,2024-06-28,put,SPY240628P00500000,51.0,54.36,56.08,0.0,0.0,5.0,11.0,0.0951933743286133,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-05 13:50:35,"{'contractSymbol': 'SPY240628P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 51.0, 'change': 0.0, 'percentChange': 0.0, 'volume': 5, 'openInterest': 11, 'bid': 54.36, 'ask': 56.08, 'contractSize': 'REGULAR', 'expiration': 1719532800, 'lastTradeDate': 1693921835, 'impliedVolatility': 0.0951933743286133, 'inTheMoney': True}"
500.0,2024-09-20,put,SPY240920P00500000,55.56,54.46,56.25,-0.34999847,-0.6260034,3.0,4803.0,0.086221296081543,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 13:53:20,"{'contractSymbol': 'SPY240920P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 55.56, 'change': -0.34999847, 'percentChange': -0.6260034, 'volume': 3, 'openInterest': 4803, 'bid': 54.46, 'ask': 56.25, 'contractSize': 'REGULAR', 'expiration': 1726790400, 'lastTradeDate': 1694181200, 'impliedVolatility': 0.086221296081543, 'inTheMoney': True}"
500.0,2024-12-20,put,SPY241220P00500000,56.29,54.78,57.03,-0.5400009,-0.95020396,7.0,230.0,0.08551939880371096,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-08 16:24:17,"{'contractSymbol': 'SPY241220P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 56.29, 'change': -0.5400009, 'percentChange': -0.95020396, 'volume': 7, 'openInterest': 230, 'bid': 54.78, 'ask': 57.03, 'contractSize': 'REGULAR', 'expiration': 1734652800, 'lastTradeDate': 1694190257, 'impliedVolatility': 0.08551939880371096, 'inTheMoney': True}"
500.0,2025-01-17,put,SPY250117P00500000,57.3,53.0,58.0,0.0,0.0,2.0,198.0,0.0915007843017578,SPY,False,SPY,445.52,2023-09-08 20:00:00,2023-09-06 17:11:43,"{'contractSymbol': 'SPY250117P00500000', 'strike': 500.0, 'currency': 'USD', 'lastPrice': 57.3, 'change': 0.0, 'percentChange': 0.0, 'volume': 2, 'openInterest': 198, 'bid': 53.0, 'ask': 58.0, 'contractSize': 'REGULAR', 'expiration': 1737072000, 'lastTradeDate': 1694020303, 'impliedVolatility': 0.0915007843017578, 'inTheMoney': True}"
